ACCESSION,EXPERIMENT,DESIGN,LENGTH,INSTRUMENT,BIOSAMPLE,TAXID,GENOME_ACCESSION,SPECIES,ASSEMBLY
DRR008642,DRX007770,SINGLE,36,Illumina Genome Analyzer IIx,SAMD00002597,381666,GCA_000009285.2,Ralstonia eutropha H16,Complete Genome
DRR008643,DRX007771,SINGLE,36,Illumina Genome Analyzer IIx,SAMD00002597,381666,GCA_000009285.2,Ralstonia eutropha H16,Complete Genome
DRR012600,DRX011556,SINGLE,36,Illumina HiSeq 2000,SAMD00010234,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
DRR012601,DRX011557,SINGLE,36,Illumina HiSeq 2000,SAMD00010231,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
DRR012602,DRX011558,SINGLE,36,Illumina HiSeq 2000,SAMD00010236,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
DRR012603,DRX011559,SINGLE,36,Illumina HiSeq 2000,SAMD00010233,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
DRR012604,DRX011560,SINGLE,36,Illumina HiSeq 2000,SAMD00010232,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
DRR012605,DRX011561,SINGLE,36,Illumina HiSeq 2000,SAMD00010235,426430,GCA_002310435.1,Staphylococcus aureus subsp. aureus str. Newman,Complete Genome
DRR013233,DRX012079,SINGLE,76,Illumina HiSeq 2000,SAMD00008695,570508,GCA_000021465.1,Helicobacter pylori P12,Complete Genome
DRR013234,DRX012080,SINGLE,76,Illumina HiSeq 2000,SAMD00008694,570508,GCA_000021465.1,Helicobacter pylori P12,Complete Genome
DRR013235,DRX012081,SINGLE,76,Illumina HiSeq 2000,SAMD00008693,570508,GCA_000021465.1,Helicobacter pylori P12,Complete Genome
DRR013236,DRX012082,SINGLE,76,Illumina HiSeq 2000,SAMD00008696,570508,GCA_000021465.1,Helicobacter pylori P12,Complete Genome
DRR021386,DRX019539,SINGLE,80,Illumina Genome Analyzer IIx,SAMD00018587,83333,GCA_001559675.1,Escherichia coli K-12,Complete Genome
DRR021389,DRX019542,SINGLE,100,Illumina Genome Analyzer IIx,SAMD00018590,83333,GCA_001559675.1,Escherichia coli K-12,Complete Genome
DRR021392,DRX019545,SINGLE,36,Illumina Genome Analyzer IIx,SAMD00018593,83333,GCA_001559675.1,Escherichia coli K-12,Complete Genome
DRR022388,DRX020449,PAIRED,200,Illumina HiSeq 2500,SAMD00019541,266835,GCA_000009625.1,Mesorhizobium japonicum MAFF 303099,Complete Genome
DRR022389,DRX020450,PAIRED,200,Illumina HiSeq 2500,SAMD00019542,266835,GCA_000009625.1,Mesorhizobium japonicum MAFF 303099,Complete Genome
DRR022390,DRX020451,PAIRED,200,Illumina HiSeq 2500,SAMD00019543,266835,GCA_000009625.1,Mesorhizobium japonicum MAFF 303099,Complete Genome
